query,expected_answer,expected_source,scheme_name
What is the expense ratio of SBI Bluechip Fund?,The direct plan expense ratio for SBI Bluechip Fund is approximately 0.62%. Regular plan expense ratio may be higher. Please refer to the latest factsheet for current rates.,https://www.sbmf.com/schemes/bluechip/factsheet.pdf,SBI Bluechip Fund
What is the exit load for SBI Flexicap Fund?,SBI Flexicap Fund may charge an exit load for redemptions within a specified period. The exit load structure is detailed in the Key Information Memorandum and may vary based on the investment duration.,https://www.sbmf.com/schemes/flexicap/kim.pdf,SBI Flexicap Fund
What is the minimum SIP amount for SBI Long Term Equity Fund?,The minimum SIP amount for SBI Long Term Equity Fund is Rs. 500 per month. Each SIP instalment is subject to the 3-year lock-in period from its respective investment date. Additional details are in the FAQ section.,https://www.sbmf.com/schemes/long-term-equity/faq,SBI Long Term Equity Fund
What is the lock-in period for SBI Long Term Equity Fund?,SBI Long Term Equity Fund has a mandatory lock-in period of 3 years from the date of investment. This lock-in period applies to each investment including SIP instalments. Redemptions are not allowed during the lock-in period.,https://www.sbmf.com/schemes/long-term-equity/kim.pdf,SBI Long Term Equity Fund
What is the riskometer rating for SBI Magnum Gilt Fund?,SBI Magnum Gilt Fund is categorized as a moderate risk fund as it invests in government securities (gilt). While it carries credit risk, it has no default risk as it invests in government bonds. Refer to the factsheet for current riskometer rating.,https://www.sbmf.com/schemes/magnum-gilt/factsheet.pdf,SBI Magnum Gilt Fund
What is the benchmark for SBI Nifty Index Fund?,SBI Nifty Index Fund uses Nifty 50 TRI (Total Return Index) as its benchmark. The fund aims to replicate the performance of the Nifty 50 Index. Current benchmark details are available in the factsheet.,https://www.sbmf.com/schemes/nifty-index/factsheet.pdf,SBI Nifty Index Fund
How to download statements for SBI Mutual Fund?,You can download your SBI Mutual Fund statements by logging into your account on the SBI Mutual Fund website. Navigate to the investor services section and select statement download. You can also contact customer service for assistance.,https://www.sbmf.com/investor-services/statement-download,General
Where can I learn about mutual funds?,AMFI (Association of Mutual Funds in India) provides comprehensive investor education resources on their website. You can access guides, FAQs, and educational materials to learn about mutual fund investing, risks, and benefits.,https://www.amfiindia.com/investor-education,General
What are the mutual fund regulations?,SEBI (Securities and Exchange Board of India) regulates mutual funds in India. The SEBI website provides comprehensive information about mutual fund regulations, guidelines, and investor protection measures. Refer to SEBI's mutual fund regulations page for details.,https://www.sebi.gov.in/legal/mutual-funds/mutual-funds-regulations.html,General
Can I withdraw money from SBI Long Term Equity Fund before 3 years?,No, you cannot withdraw money from SBI Long Term Equity Fund before the completion of the 3-year lock-in period. This is a mandatory requirement for all ELSS funds as per SEBI regulations. Each investment has its own 3-year lock-in period.,https://www.sbmf.com/schemes/long-term-equity/kim.pdf,SBI Long Term Equity Fund

